"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2018,5,2,"Eixample",6,"la Sagrada Família",34381,5.6
2018,5,2,"Eixample",7,"la Dreta de l'Eixample",28960,4.3
2018,5,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",28563,4.8
2018,5,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38127,5.4
2018,5,2,"Eixample",10,"Sant Antoni",25468,5.8
2018,5,3,"Sants-Montjuïc",11,"el Poble Sec",28154,7.6
2018,5,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",784,13.7
2018,5,3,"Sants-Montjuïc",13,"la Marina de Port",20134,8.3
2018,5,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6837,7.9
2018,5,3,"Sants-Montjuïc",15,"Hostafrancs",10997,6.3
2018,5,3,"Sants-Montjuïc",16,"la Bordeta",12230,6.7
2018,5,3,"Sants-Montjuïc",17,"Sants - Badal",15846,5.4
2018,5,3,"Sants-Montjuïc",18,"Sants",27531,6
2018,5,4,"Les Corts",19,"les Corts",28255,5.9
2018,5,4,"Les Corts",20,"la Maternitat i Sant Ramon",14546,5.8
2018,5,4,"Les Corts",21,"Pedralbes",7068,2.9
2018,5,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3078,2.9
2018,5,5,"Sarrià-Sant Gervasi",23,"Sarrià",14988,3
2018,5,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10016,3.5
2018,5,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15689,3.5
2018,5,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29571,3.4
2018,5,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18879,4.7
2018,5,6,"Gràcia",28,"Vallcarca i els Penitents",9886,5.8
2018,5,6,"Gràcia",29,"el Coll",4875,4.8
2018,5,6,"Gràcia",30,"la Salut",8192,6.2
2018,5,6,"Gràcia",31,"la Vila de Gràcia",34562,5.7
2018,5,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22106,5.6
